epoch,loss_train,accuracy_train,loss_test,accuracy_test
1,2.9717310255869447,0.2584780810587262,2.459866496295464,0.3326829268292683
2,2.3504611745760204,0.347394540942928,2.4036979517122594,0.3453658536585365
3,2.263139919173727,0.3614557485525227,2.3797161818713675,0.3697560975609756
4,2.2016451735453137,0.3556658395368073,2.3448821821445374,0.3775609756097561
5,2.143377866401862,0.3842018196856906,2.3483593894214163,0.3775609756097561
6,2.113424844047666,0.3829611248966088,2.3555636429205173,0.3697560975609756
7,2.0078349389548733,0.4011579818031431,2.3043795269291576,0.3892682926829268
8,1.9847834822163293,0.4081885856079404,2.2954471239229526,0.384390243902439
9,1.971099520833952,0.4143920595533499,2.2950648275235803,0.3853658536585366
10,1.970425406795972,0.4160463192721257,2.2946862979051543,0.3863414634146341
