epoch,loss_train,loss_val,acc_top1,acc_top5,mean_pos
1,4.202681911655885,4.193441943118446,0.2704687494980661,0.5584457234332436,10.535485192349082
2,4.147159802249449,4.18759612660659,0.3352713812338678,0.6392516446741003,9.208947369926854
3,4.128373400556726,4.134629876990068,0.3776891443290208,0.6746463807005632,7.418700657392803
4,4.111776879805624,4.136560697304575,0.3957154601812362,0.7017187491843575,7.27300164574071
5,4.102899593691672,4.111031789528696,0.4528371707389229,0.7496710513767443,5.946472042485287
6,4.090627949258799,4.1098914460132,0.4601973687347613,0.7406825658522154,6.416447363401714
7,4.077389406668476,4.09857525950984,0.4912006572673195,0.7747121704252142,5.501899669044896
8,4.070301268806905,4.081254563833538,0.5143421041338068,0.7918338807005632,5.135559207514713
9,4.0611573681453805,4.089356246747468,0.5123930918542963,0.789975327880759,5.249901307256598
10,4.059107480161002,4.0769802896600025,0.5334950654130233,0.7990049343360098,4.684654606016059
